gene	plot_type	plot_subtype
FOSL2	Oncogene	Transcription Factor
FOXA1	Oncogene or Tumor Suppressor	Epigenetic
FOXA2	Tumor Suppressor	Transcription Factor
FOXA3	Other	Transcription Factor
FOXB1	Other	Transcription Factor
FOXB2	Other	Transcription Factor
FOXC1	Tumor Suppressor	Transcription Factor
FOXC2	Oncogene	Transcription Factor
FOXD1	Other	Transcription Factor
FOXD2	Other	Transcription Factor
FOXD3	Tumor Suppressor	Transcription Factor
FOXD4	Other	Transcription Factor
FOXD4L1	Other	Transcription Factor
FOXD4L3	Other	Transcription Factor
FOXD4L4	Other	Transcription Factor
FOXD4L5	Other	Transcription Factor
FOXD4L6	Other	Transcription Factor
FOXE1	Oncogene	Transcription Factor
FOXE3	Other	Transcription Factor
FOXF1	Other	Transcription Factor
FOXF2	Other	Transcription Factor
FOXG1	Oncogene	Transcription Factor
FOXH1	Other	Transcription Factor
FOXI1	Other	Transcription Factor
FOXI2	Other	Transcription Factor
FOXI3	Other	Transcription Factor
FOXJ1	Other	Transcription Factor
FOXJ2	Other	Transcription Factor
FOXJ3	Other	Transcription Factor
FOXK1	Other	Transcription Factor
FOXK2	Other	Transcription Factor
FOXL1	Oncogene	Transcription Factor
FOXL2	Oncogene or Tumor Suppressor	Transcription Factor
FOXM1	Oncogene	Transcription Factor
FOXN1	Other	Transcription Factor
FOXN2	Other	Transcription Factor
FOXN3	Other	Transcription Factor
FOXN4	Other	Transcription Factor
FOXO1	Oncogene or Tumor Suppressor	Epigenetic
FOXO3	Oncogene or Tumor Suppressor	Transcription Factor
FOXO4	Oncogene or Tumor Suppressor	Transcription Factor
FOXO6	Tumor Suppressor	Transcription Factor
FOXP1	Oncogene or Tumor Suppressor	Epigenetic
FOXP2	Other	Epigenetic
FOXP3	Oncogene or Tumor Suppressor	Epigenetic
FOXP4	Other	Epigenetic
FOXQ1	Other	Transcription Factor
FOXR1	Other	Transcription Factor
FOXR2	Oncogene	Transcription Factor
FOXS1	Other	Transcription Factor
FPGT-TNNI3K	Other	Kinase
FRAP	Other	Kinase
FRAT1	Oncogene	Other Oncogene
FRK	Tumor Suppressor	Kinase
FRMD8	Oncogene	Other Oncogene
FRS3	Tumor Suppressor	Other Tumor Suppressor
FRYL	Oncogene	Other Oncogene
FSCB	Oncogene	Other Oncogene
FSCN1	Oncogene	Other Oncogene
FST	Oncogene	Other Oncogene
FSTL3	Oncogene	Other Oncogene
FUBP1	Oncogene	RNA Binding Protein
FUS	Oncogene or Tumor Suppressor	RNA Binding Protein
FUT8	Oncogene	Other Oncogene
FXN	Tumor Suppressor	Other Tumor Suppressor
FXYD5	Oncogene	Other Oncogene
FYN	Oncogene	Kinase
FZR1	Tumor Suppressor	Other Tumor Suppressor
Fused	Other	Kinase
G0S2	Tumor Suppressor	Other Tumor Suppressor
G11	Other	Kinase
GAB1	Oncogene	Other Oncogene
GAB2	Oncogene	Other Oncogene
